cars dovtt divtt dcost choose
2 22.5 5 -20.5 1
2 12.5 -2 -19.5 1
1 12.5 -1 20 1
3 -1 4 -55 1
1 5 16 -53 1
2 20 7 18 1
3 7 1 34 1
2 10.5 14 18 1
1 0 3 -71.5 0
1 14 7 -20.5 1
0 4 12 -10 0
3 8 10 -34 1
1 9 11 -41.5 1
2 25 40 -2 1
2 20.5 37 17 1
3 15 36 -1.5 1
1 12.5 1 24 1
3 15 25 16 1
0 5 -2 -71.5 0
0 25 19 33 0
1 5.5 3 24 1
2 6 13 -52 1
2 4 10 -34.5 1
2 8 21 -59.5 0
1 12 17 26 0
1 28.5 21 21 1
1 16 2 -2 1
2 17.5 5 20 1
1 18 11 17 1
1 17 46 70 1
2 17 46 70 1
1 15.5 25 -31.5 1
1 4 7 -37.5 1
1 12 6 48 1
4 23 55 -8 1
2 5 9 -42 1
2 8 13 -61 1
2 7 6 7 1
1 13.5 9 23 1
2 20 27 11 1
2 2.5 -6 19 1
2 6 16 -36 1
2 14 20 44 1
2 6 24 11 1
1 9 15 -45 1
1 4 13 -57.5 0
2 12.5 -1 19 1
2 10 22 -5 1
1 6 2 2.5 1
1 17.5 -2 87 1
2 17.5 2 19 1
2 15 0 13.5 1
3 16 11 -6.5 1
2 12.5 46 14.5 1
1 19 34 -4 1
1 9.5 0 88 1
2 9 9 -69 1
1 9 3 -34 1
1 36.5 9 18 1
4 24.5 23 26 1
1 20 29 63 1
2 11 16 -33.5 1
1 6 15 3.5 1
1 10.5 -1 27 1
2 30.5 25 81 1
2 29 41 64 1
3 20.5 -1 35 1
2 17 30 34 1
1 20.5 58 -30.5 1
1 26.5 19 34.5 1
3 27.5 56 18 1
2 7 31 -74.5 1
1 39 77 3 1
1 39 78 -5 1
1 4 3 -51 1
2 3 -1 -79.5 1
2 15 10 -79.5 1
2 5.5 -4 19 1
2 17 38 51 1
2 33 17 15 1
1 21.5 32 66 1
2 6 -2 -65 1
1 22 56 7 1
2 12.5 35 83 1
1 10 7 9.5 1
1 11 37 -54 1
3 17.5 -2 23 1
1 33.5 13 80 1
2 23 33 -67.5 1
2 28 7 -19.5 1
1 25 24 11 1
2 18 16 23 1
1 14.5 9 9 1
1 21 12 -67.5 1
0 19 12 -42.5 0
2 26.5 41 38 1
2 36.5 28 -45.5 1
2 24 13 0 1
2 5 19 0.5 1
2 21.5 6 14 1
1 17 19 29 1
1 14 27 -15 1
1 21.5 32 10 1
3 14.5 -1 19 1
1 20 11 -51 1
0 21 10 -65.5 0
1 15 12 -63.5 1
2 19 10 -70.5 1
2 35.5 22 18 1
1 9 24 13 0
2 17 20 35 1
1 8 9 -67.5 1
2 12 26 23 1
2 32 25 -28.5 1
2 40 4 27 1
2 14 20 21 1
3 20 47 29 1
2 15 22 21 1
1 18.5 41 5 1
1 10 6 -28 0
1 28 21 25 1
1 13 9 -39.5 1
1 4 15 -76.5 1
2 12 15 -72 1
2 19.5 -2 10 1
1 9 14 -62 1
1 4 18 -76.5 1
2 7 17 -65.5 1
1 22 7 -46 1
3 16 7 34 1
2 6 8 -53.5 1
1 10 8 31 1
0 9 14 -73.5 1
1 15 11 -45 0
1 7 14 -70.5 1
2 16 14 -12.5 1
1 9 26 -19.5 1
2 6 29 -3 1
3 10 27 -17 1
1 25 24 -40.5 1
0 21 45 21 0
3 18 24 28 1
2 17 35 0 1
3 22 8 -3 1
2 14 18 11 1
1 33 25 27 1
2 45 38 17 1
1 12 14 3 1
2 31 13 0.5 1
3 26 12 7 1
1 42 25 22 0
1 24.5 3 11 1
1 13 29 -22.5 1
1 9 16 -77.5 0
1 23.5 22 31 1
2 9.5 1 18 1
2 10 9 -73.5 1
1 23.5 23 16 1
2 13 10 18 1
1 15 28 6 1
2 9.5 6 16 1
1 4 11 -20 1
2 7 0 -54.5 1
2 34 40 6 1
2 13.5 63 13 1
2 29 18 -25.5 1
1 3 21 -44.5 1
1 7.5 -2 29 1
1 11 13 -77.5 0
2 11 59 25 1
2 4 9 -64 1
1 18 36 33 1
2 48 3 21 1
1 3 17 -71.5 1
2 15.5 1 47 1
2 5 71 44 1
2 4 10 -54 0
1 4 10 -54 1
2 18 8 27 1
1 27.5 7 39 1
1 3 18 -72.5 0
3 20 14 19 1
2 31 2 3 1
2 13 6 -19.5 1
2 10 18 -59.5 1
1 16.5 28 -7 1
2 0 19 -81.5 1
1 -3 12 -51.5 1
2 0 10 -68 1
1 13 28 -24.5 1
1 28 59 -15.5 1
2 5 -3 21 1
1 9 10 -63 1
0 20 -2 8 1
0 1 14 -74.5 0
1 20.5 14 13 1
3 13 15 -26.5 1
2 31 9 8 1
3 11.5 22 -7 1
1 18.5 16 4 1
1 3 12 -55.5 0
2 10 2 14 1
1 24 4 -3 1
3 -4 -27 77 1
2 28 -1 4 1
1 18 14 -63 1
3 19 37 6 1
1 17 11 16 1
2 21 10 6 1
2 27.5 -4 15 1
2 32 -3 8 1
5 1 39 -25 1
1 14 11 16 1
1 27 29 -6.5 1
1 37 41 -2.5 1
2 16 18 -54.5 1
2 11 19 42 1
2 9.5 7 22 1
2 12.5 -3 18 1
2 12.5 1 -18.5 1
2 16.5 37 -11.5 1
2 12.5 1 -18.5 1
3 13 17 14.5 1
3 37 13 46 1
2 30.5 46 21.5 1
1 37 5 15 1
1 27 10 0.5 1
2 14 51 24 1
1 4 4 6.5 1
1 24 5 11 1
1 2 12 12 1
3 18.5 21 37 1
1 2 24 -55.5 1
1 13.5 24 -22.5 1
2 22 18 3 1
2 13 8 -29 1
1 26 42 16 1
2 9.5 3 -6.5 1
2 14 22 36 1
1 20.5 14 25 1
1 19 6 26 1
4 10 4 27 1
2 6 5 26 1
2 7 5 2 1
2 15 10 12 1
1 7 1 5.5 1
2 17.5 8 21 1
2 9.5 4 -6.5 1
2 5 5 -62.5 1
2 5.5 -2 32 1
2 5 13 -48 1
1 8 6 -27 1
1 23 -5 21 1
1 16 30 -16.5 1
1 16 19 -19 1
2 29 25 13 1
2 21 2 15 1
2 5.5 0 -17.5 1
2 12 19 21.5 1
2 8 2 4.5 1
1 8.5 6 -15.5 1
2 13.5 31 27 1
2 21 55 49 1
1 12 27 31 1
1 11 17 -29 1
1 25.5 22 22 1
2 24 22 37 1
2 17.5 9 -5.5 1
2 32.5 8 26 1
3 36.5 55 14 1
2 28 19 7 1
3 13 13 17 1
1 8.5 1 -16.5 1
1 9 12 -60.5 1
3 9.5 1 14 1
2 19.5 0 13 1
2 12.5 19 14 1
1 17 46 8 1
4 16.5 38 25 1
2 17.5 81 8 1
3 13.5 65 4 1
3 7 -3 18 1
1 3 15 -44.5 1
3 4 10 -40 1
1 6 10 11 1
1 21 13 -25 1
1 12.5 30 87 1
3 23.5 51 79 1
1 18 3 -46.5 1
2 18 3 -46.5 1
2 30 -4 13 1
2 27.5 33 75 1
2 23.5 51 -17.5 1
2 23.5 51 -17.5 1
2 -3 18 -41 1
3 -3 17 -44 1
2 21.5 61 8 1
2 -4 -45 -56 1
2 13.5 1 20 1
3 20 29 46 1
2 6 9 26 1
2 11 26 -71.5 1
3 10 30 -72.5 1
2 31 32 -10.5 1
3 30 23 0.5 1
1 30 23 0.5 1
0 21 47 -6 0
1 42 49 14 1
1 8 4 -42 1
2 6 9 -12.5 1
3 10 24 -32.5 1
1 11 9 -83.5 1
1 19 12 -10.5 0
1 3 8 -47.5 1
2 7 22 -67.5 0
2 17 10 8 1
1 7 15 -49.5 1
2 3 25 -60 1
2 6 13 -8.5 1
3 19.5 26 20 1
1 11 20 -65.5 0
1 1 21 -69 1
1 8 35 -1 1
2 -1 17 -47.5 1
2 9 16 -32 1
3 10 15 -64.5 1
1 10 15 -64.5 0
3 19.5 32 -20.5 1
2 17 2 16 1
1 22.5 22 26 1
3 9 28 -14 1
2 24 -1 10 1
1 33 23 -1 1
1 11 15 16 1
2 21.5 46 19 1
2 24.5 49 1 1
2 8 17 15 1
2 22 36 -5.5 1
1 21 17 5 1
3 19.5 32 -2 1
1 15 61 24 1
1 26 67 -1.5 1
1 -5 -21 -2.5 1
1 27.5 53 -16.5 1
2 16 16 -19.5 1
2 9 20 -28 1
3 20 62 -8 1
3 19.5 28 -14.5 1
2 19.5 13 20 1
1 17 36 -35.5 1
2 16 38 16 1
2 10 16 -4 0
2 10 16 -4 1
1 4 20 -48 1
1 19 18 -72.5 1
2 8 43 -81.5 1
2 24 26 11 1
2 6 34 -23 1
3 23 95 -22 1
2 11 36 -15 1
1 21 42 21 1
1 13 28 -77.5 0
1 9.5 6 11.5 1
2 21.5 8 -3.5 1
2 2 18 -54.5 1
1 9 37 -26 0
2 5 7 -57.5 1
3 6 17 -76 1
3 23 92 18 1
2 7 15 -64.5 0
2 8 22 -80.5 1
7 18 6 11 1
4 3 -4 22 1
3 13 -1 11 1
1 12.5 -1 8 1
2 19 18 -72.5 1
2 33 32 34 1
1 22.5 19 0 1
2 18 21 -45 1
1 18 18 4 1
2 26.5 12 10 1
2 5 13 -64.5 1
2 16 16 -88.5 1
1 0 -2 17 1
2 21.5 42 23 1
2 11 17 8 1
3 15 11 13 1
3 28 46 -21 1
2 33.5 18 -11.5 1
1 31 -3 12 1
2 44.5 21 20 1
1 39 2 22 1
1 39 2 22 1
1 34 1 22 1
1 35 17 19.5 1
2 17.5 17 19 1
3 17.5 14 -18.5 1
2 14 0 19 1
1 6 1 -1 1
2 -4 -38 -27 1
2 16 17 44 1
3 9 -4 30 1
4 18.5 85 16 1
1 7 26 -51 1
1 36.5 10 20 1
2 4 17 10 1
1 42 28 12 1
1 20 20 -1 1
2 9 4 -0.5 1
2 19.5 37 46 1
2 22.5 22 22 1
1 14.5 10 -11.5 1
2 5 5 5 1
4 8 -1 28 1
2 17 19 49 1
1 16.5 8 -15.5 1
1 31 4 22 1
2 6 21 1 1
2 14 16 52 1
2 9.5 41 -24.5 1
2 12 29 5.5 1
1 8 18 20 1
2 11 19 28 1
2 46 21 31 1
1 24 3 20 1
1 25 19 22 1
1 8.5 2 22 1
2 10 24 -56.5 1
2 7 24 -16 1
3 6 15 -41 1
2 27 -4 23 1
2 14.5 37 43 1
2 5 -3 60 1
1 30 -2 16 1
2 13 96 -6 1
3 30 -3 18 1
2 13 102 2 1
0 13 102 2 1
1 11 55 39 1
1 21.5 76 2 1
2 21 87 -24 1
1 11 81 -3 1
1 11 81 -3 1
1 21 10 5 1
2 -4 -55 18 1
1 39.5 52 -18 1
1 25.5 57 49 1
2 28 70 46 1
1 13 34 -46.5 1
1 17 30 -78 1
1 24 41 -78.5 1
2 14 28 -87.5 1
1 15 1 -84.5 1
1 17 12 -33.5 1
5 32.5 46 1 1
4 4 31 4.5 1
1 10.5 31 3 1
2 -3 10 -106.5 1
2 -4 16 3 1
3 13 41 -21 1
1 -4 27 15 1
1 7 38 -50.5 1
2 -4 11 6 1
3 15.5 49 4 1
2 24.5 90 10.5 1
2 3 25 -57.5 1
2 6 10 -16 1
2 17 -2 12 1
2 -4 25 9 1
1 7 17 -69.5 1
1 12 12 -59 1
1 7 17 -69.5 1
1 15 17 -13 1
2 37 7 17 1
2 23.5 27 -12 1
2 27 25 -54 1
1 10 2 7 1
3 14.5 19 -14 1
5 9.5 13 -27.5 1
2 14.5 11 31 1
2 22 31 6 1
2 14 8 -68.5 1
2 15 12 8 1
2 21 37 -47.5 1
1 15 2 14 1
1 27 40 -1 1
3 22 16 -8 1
2 15.5 50 -16 1
3 6.5 15 -32.5 1
1 24 -4 13 1
1 27 -5 16 1
1 30 28 -11 1
1 23 11 11 1
1 10 11 4 1
2 -4 11 1 1
2 12 20 -101 1
2 30 46 -5 1
2 9.5 13 -24 1
1 13 2 -5 1
3 7 3 1 1
2 12 24 -111 1
1 25.5 59 5 1
1 21 53 -7 1
2 -4.5 -59 9 1
2 -4 -46 60 1
1 -4 -47 31 1
3 21 19 -84.5 1
1 24 26 -6 1
1 5 13 -43.5 1
2 30.5 31 -11 1
1 7 37 -80.5 1
2 19.5 20 -22 1
1 23 61 -15 1
1 23 58 -19 1
1 28.5 7 -20 1
2 11 50 -106 1
2 6.5 7 -18 1
2 6 57 -24 1
1 6 55 -30 1
2 10 22 -78 1
2 -4 48 22 1
1 6 -1 -27 1
2 6.5 9 -18 0
2 12 34 -72 1
2 20.5 19 -1 1
1 4 1 -18 1
2 10 21 -32 1
0 30 37 89 1
2 11 43 34 1
2 -4 40 13 1
2 8 22 -100 1
